"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","63517"
"be a COVID-19",14, 0.00023
"battle COVID-19",14, 0.00023
"announce a coronavirus",14, 0.00023
"aid coronavirus",14, 0.00023
"worry the coronavirus",13, 0.00021
"warn over coronavirus",13, 0.00021
"want the coronavirus",13, 0.00021
"treat the COVID-19",13, 0.00021
"tackle the COVID-19",13, 0.00021
"study coronavirus",13, 0.00021
"spread Wuhan coronavirus",13, 0.00021
"show that COVID-19",13, 0.00021
"shake off coronavirus",13, 0.00021
"see COVID-19",13, 0.00021
"regard novel coronavirus",13, 0.00021
"panic over coronavirus",13, 0.00021
"note that COVID-19",13, 0.00021
"look like coronavirus",13, 0.00021
"ignore coronavirus",13, 0.00021
"hold coronavirus",13, 0.00021
"grow the coronavirus",13, 0.00021
"discharge coronavirus",13, 0.00021
"declare the COVID-19",13, 0.00021
"cure COVID-19",13, 0.00021
"cancel as coronavirus",13, 0.00021
"call novel coronavirus",13, 0.00021
"burgeon coronavirus",13, 0.00021
"become a coronavirus",13, 0.00021
"be use coronavirus",13, 0.00021
"be monitor coronavirus",13, 0.00021
"be for coronavirus",13, 0.00021
"aid the coronavirus",13, 0.00021
"admit the coronavirus",13, 0.00021
"add that coronavirus",13, 0.00021
"weigh coronavirus",12, 0.00019
"update coronavirus",12, 0.00019
"threaten by coronavirus",12, 0.00019
"test suspected coronavirus",12, 0.00019
"term COVID-19",12, 0.00019
"survive coronavirus",12, 0.00019
"struggle with coronavirus",12, 0.00019
"state that coronavirus",12, 0.00019
"spark by coronavirus",12, 0.00019
"say about coronavirus",12, 0.00019
"say Wuhan coronavirus",12, 0.00019
"rise as coronavirus",12, 0.00019
"return from coronavirus",12, 0.00019
"result from coronavirus",12, 0.00019
"report that coronavirus",12, 0.00019
"report more coronavirus",12, 0.00019
"pertain to coronavirus",12, 0.00019
"panick about coronavirus",12, 0.00019
"mock the coronavirus",12, 0.00019
"mean coronavirus",12, 0.00019
"make a coronavirus",12, 0.00019
"learn about COVID-19",12, 0.00019
"launch a coronavirus",12, 0.00019
"kill [number] coronavirus",12, 0.00019
"join the coronavirus",12, 0.00019
"isolate coronavirus",12, 0.00019
"hear of coronavirus",12, 0.00019
"have develop coronavirus",12, 0.00019
"fight a coronavirus",12, 0.00019
"extend coronavirus",12, 0.00019
"evolve COVID-19",12, 0.00019
"eradicate coronavirus",12, 0.00019
"document coronavirus",12, 0.00019
"do COVID-19",12, 0.00019
"block the coronavirus",12, 0.00019
"be this coronavirus",12, 0.00019
"be rename COVID-19",12, 0.00019
"be not COVID-19",12, 0.00019
